time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,norad_id,distance_km,radius_km
315000,SAT_53996,STARLINK-5131,SAT,-1811361.52,5908282.3,3101015.33,540.31,-1,10.0.3.191,53996,659.3,6914.125134066133
315000,SAT_59943,STARLINK-31973,SAT,-1603643.6,5927520.73,3051996.25,483.36,-1,10.0.3.18,59943,666.42,6857.2484212266045
315000,SAT_57671,STARLINK-30296,SAT,-1225029.99,6038309.18,2993144.62,475.84,-1,10.0.3.41,57671,684.52,6849.875250390083
316000,SAT_62474,STARLINK-11502 [DTC],SAT,-1708218.99,5589799.31,3334681.94,356.47,-1,10.0.3.254,62474,412.07,6729.336674950604
316000,SAT_58748,STARLINK-31165,SAT,-1479394.33,5851042.97,3289024.65,499.99,-1,10.0.3.98,58748,511.12,6873.208462481709
316000,SAT_60445,STARLINK-32228,SAT,-1766804.56,5680976.38,3393584.57,476.33,-1,10.0.3.10,60445,542.79,6849.19756008664
316000,SAT_57931,STARLINK-30488,SAT,-1634770.27,5687207.49,3611097.29,559.99,-1,10.0.3.46,57931,582.48,6932.303117134544
316000,SAT_60935,STARLINK-11253 [DTC],SAT,-1202097.68,5848693.82,3113485.67,360.4,-1,10.0.3.245,60935,592.71,6733.947672031833
316000,SAT_64911,STARLINK-34718,SAT,-1514830.78,5897098.25,3137984.74,476.0,-1,10.0.3.141,64911,612.21,6849.629792234127
316000,SAT_64928,STARLINK-34248,SAT,-1879849.16,5545295.77,3553548.02,476.86,-1,10.0.3.158,64928,623.59,6849.2219683390695
316000,SAT_53996,STARLINK-5131,SAT,-1816538.0,5909345.31,3095976.1,540.3,-1,10.0.3.191,53996,659.3,6914.133373752216
316000,SAT_59943,STARLINK-31973,SAT,-1608710.65,5924111.69,3055934.4,483.37,-1,10.0.3.18,59943,666.42,6857.24320176275
316000,SAT_57671,STARLINK-30296,SAT,-1230069.38,6039827.87,2988028.63,475.83,-1,10.0.3.41,57671,684.52,6849.88368313959
317000,SAT_62474,STARLINK-11502 [DTC],SAT,-1714612.95,5589997.93,3331074.72,356.46,-1,10.0.3.254,62474,412.07,6729.341217083219
317000,SAT_58748,STARLINK-31165,SAT,-1485614.21,5851552.7,3285322.91,499.98,-1,10.0.3.98,58748,511.12,6873.213600987684
317000,SAT_60445,STARLINK-32228,SAT,-1772233.81,5682157.25,3388789.46,476.32,-1,10.0.3.10,60445,542.79,6849.205625124841
317000,SAT_57931,STARLINK-30488,SAT,-1640036.98,5683565.5,3614432.62,559.99,-1,10.0.3.46,57931,582.48,6932.2984105618125
317000,SAT_60935,STARLINK-11253 [DTC],SAT,-1206238.96,5845154.59,3118508.45,360.41,-1,10.0.3.245,60935,592.71,6733.939379170364
317000,SAT_64911,STARLINK-34718,SAT,-1518740.97,5893417.45,3142987.78,476.0,-1,10.0.3.141,64911,612.21,6849.621563207004
317000,SAT_64928,STARLINK-34248,SAT,-1883604.34,5541031.69,3558192.27,476.87,-1,10.0.3.158,64928,623.59,6849.213803754329
317000,SAT_53996,STARLINK-5131,SAT,-1821712.14,5910401.97,3090933.12,540.29,-1,10.0.3.191,53996,659.3,6914.141604011028
317000,SAT_59943,STARLINK-31973,SAT,-1613776.21,5920696.11,3059868.76,483.37,-1,10.0.3.18,59943,666.42,6857.237994364425
317000,SAT_57671,STARLINK-30296,SAT,-1235107.03,6041339.84,2982908.92,475.83,-1,10.0.3.41,57671,684.52,6849.892120533155
318000,SAT_62474,STARLINK-11502 [DTC],SAT,-1721004.65,5590190.2,3327463.13,356.46,-1,10.0.3.254,62474,412.07,6729.345760102319
318000,SAT_58748,STARLINK-31165,SAT,-1491832.2,5852056.18,3281617.14,499.97,-1,10.0.3.98,58748,511.12,6873.218743818271
318000,SAT_60445,STARLINK-32228,SAT,-1777660.7,5683331.9,3383990.14,476.31,-1,10.0.3.10,60445,542.79,6849.213700673919
318000,SAT_57931,STARLINK-30488,SAT,-1645302.27,5679917.51,3617763.61,560.0,-1,10.0.3.46,57931,582.48,6932.293705398812
318000,SAT_60935,STARLINK-11253 [DTC],SAT,-1210379.18,5841608.36,3123527.14,360.41,-1,10.0.3.245,60935,592.71,6733.9310796381
318000,SAT_64911,STARLINK-34718,SAT,-1522649.83,5889729.95,3147986.91,476.01,-1,10.0.3.141,64911,612.21,6849.613344872641
