time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
2900,UAV_03,RELAY,UAV,-1338624.1,5363907.3,3171110.9,10.0.0.4,336.3,99.7
2900,UAV_04,RELAY,UAV,-1335924.0,5364863.8,3170634.7,10.0.0.5,180.2,99.7
2900,UAV_05,RELAY,UAV,-1337900.5,5365345.0,3168997.8,10.0.0.6,84.9,99.7
2900,UAV_06,RELAY,UAV,-1336838.6,5363574.4,3172418.4,10.0.0.7,257.8,99.7
2900,UAV_07,RELAY,UAV,-1336911.8,5363441.2,3172611.7,10.0.0.8,261.8,99.7
3000,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
3000,UAV_01,RELAY,UAV,-1337493.1,5364479.3,3170623.4,10.0.0.2,181.8,99.7
3000,UAV_02,RELAY,UAV,-1336748.6,5364340.6,3171168.5,10.0.0.3,221.0,99.7
3000,UAV_03,RELAY,UAV,-1338623.4,5363906.7,3171112.1,10.0.0.4,334.9,99.7
3000,UAV_04,RELAY,UAV,-1335924.2,5364864.6,3170633.4,10.0.0.5,180.2,99.7
3000,UAV_05,RELAY,UAV,-1337901.9,5365344.6,3168997.9,10.0.0.6,84.9,99.7
3000,UAV_06,RELAY,UAV,-1336837.2,5363574.9,3172418.2,10.0.0.7,257.8,99.7
3000,UAV_07,RELAY,UAV,-1336910.4,5363441.7,3172611.5,10.0.0.8,261.8,99.7
3100,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
3100,UAV_01,RELAY,UAV,-1337493.3,5364480.1,3170622.1,10.0.0.2,177.4,99.7
3100,UAV_02,RELAY,UAV,-1336747.8,5364341.4,3171167.5,10.0.0.3,221.0,99.7
3100,UAV_03,RELAY,UAV,-1338622.6,5363906.2,3171113.3,10.0.0.4,334.9,99.7
3100,UAV_04,RELAY,UAV,-1335924.4,5364865.3,3170632.1,10.0.0.5,180.2,99.7
3100,UAV_05,RELAY,UAV,-1337903.3,5365344.2,3168998.0,10.0.0.6,84.9,99.7
3100,UAV_06,RELAY,UAV,-1336835.8,5363575.4,3172417.9,10.0.0.7,257.8,99.7
3100,UAV_07,RELAY,UAV,-1336909.0,5363442.1,3172611.3,10.0.0.8,261.8,99.7
3200,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
3200,UAV_01,RELAY,UAV,-1337493.6,5364480.8,3170620.8,10.0.0.2,172.9,99.7
3200,UAV_02,RELAY,UAV,-1336747.0,5364342.2,3171166.5,10.0.0.3,221.0,99.7
3200,UAV_03,RELAY,UAV,-1338621.8,5363905.7,3171114.5,10.0.0.4,334.9,99.7
3200,UAV_04,RELAY,UAV,-1335924.6,5364866.0,3170630.8,10.0.0.5,180.2,99.7
